county,year,naics,emp,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
Multnomah,2005,525910,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,525930,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,531110,1274,286,223,43,13,3,2,2,0,0,0,0,0,0,0
Multnomah,2005,531120,633,132,93,23,12,3,1,0,0,0,0,0,0,0,0
Multnomah,2005,531130,0,44,38,5,1,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,531190,76,22,19,1,2,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,531210,1342,444,388,31,15,6,3,1,0,0,0,0,0,0,0
Multnomah,2005,531311,3363,185,101,34,18,17,7,7,1,0,0,0,0,0,0
Multnomah,2005,531312,656,51,29,5,8,4,4,1,0,0,0,0,0,0,0
Multnomah,2005,531320,154,56,51,3,1,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,531390,200,53,40,8,4,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,532111,0,31,11,7,3,3,5,2,0,0,0,0,0,0,0
Multnomah,2005,532120,254,30,14,7,5,4,0,0,0,0,0,0,0,0,0
Multnomah,2005,532210,88,9,4,2,2,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,532220,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,532230,494,57,12,22,21,2,0,0,0,0,0,0,0,0,0
Multnomah,2005,532291,0,4,1,1,0,1,1,0,0,0,0,0,0,0,0
Multnomah,2005,532292,0,6,4,1,1,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,532299,200,12,5,2,1,3,1,0,0,0,0,0,0,0,0
Multnomah,2005,532310,90,12,5,4,2,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,532411,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,532412,174,15,5,2,5,3,0,0,0,0,0,0,0,0,0
Multnomah,2005,532420,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,532490,328,28,13,5,5,4,1,0,0,0,0,0,0,0,0
Multnomah,2005,533110,207,4,0,2,0,0,1,1,0,0,0,0,0,0,0
Multnomah,2005,541110,6261,829,606,108,51,43,12,7,2,0,0,0,0,0,0
Multnomah,2005,541191,0,9,4,3,0,1,0,1,0,0,0,0,0,0,0
Multnomah,2005,541199,65,14,8,5,0,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,541211,1803,195,122,38,19,9,3,4,0,0,0,0,0,0,0
Multnomah,2005,541213,492,81,43,28,6,4,0,0,0,0,0,0,0,0,0
Multnomah,2005,541214,0,14,8,0,2,1,2,0,0,1,0,0,0,0,0
Multnomah,2005,541219,634,111,80,19,7,3,1,1,0,0,0,0,0,0,0
Multnomah,2005,541310,2622,174,95,34,17,16,6,5,1,0,0,0,0,0,0
Multnomah,2005,541320,228,46,32,8,4,2,0,0,0,0,0,0,0,0,0
Multnomah,2005,541330,3194,206,114,29,28,15,14,6,0,0,0,0,0,0,0
Multnomah,2005,541340,59,17,14,2,0,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,541350,106,23,19,0,3,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,541360,0,4,2,0,1,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,541370,223,23,9,7,3,4,0,0,0,0,0,0,0,0,0
Multnomah,2005,541380,228,18,6,5,3,3,1,0,0,0,0,0,0,0,0
Multnomah,2005,541410,207,66,53,9,4,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,541420,0,19,13,2,2,0,0,1,0,1,0,0,0,0,0
Multnomah,2005,541430,772,152,114,17,13,6,2,0,0,0,0,0,0,0,0
Multnomah,2005,541490,107,10,7,1,0,1,1,0,0,0,0,0,0,0,0
Multnomah,2005,541511,1177,169,119,22,12,12,3,1,0,0,0,0,0,0,0
Multnomah,2005,541512,1321,174,135,15,8,13,2,0,1,0,0,0,0,0,0
Multnomah,2005,541513,0,10,9,0,1,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,541519,440,31,23,3,1,2,0,2,0,0,0,0,0,0,0
Multnomah,2005,541611,937,212,180,16,10,4,0,2,0,0,0,0,0,0,0
Multnomah,2005,541612,471,43,31,2,3,2,5,0,0,0,0,0,0,0,0
Multnomah,2005,541613,246,84,70,9,3,1,1,0,0,0,0,0,0,0,0
Multnomah,2005,541614,116,22,14,4,2,2,0,0,0,0,0,0,0,0,0
Multnomah,2005,541618,26,11,9,2,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,541620,494,45,23,6,10,4,2,0,0,0,0,0,0,0,0
Multnomah,2005,541690,537,75,56,8,5,4,1,1,0,0,0,0,0,0,0
Multnomah,2005,541710,995,59,35,7,8,6,0,2,1,0,0,0,0,0,0
Multnomah,2005,541720,247,19,14,1,3,0,0,1,0,0,0,0,0,0,0
Multnomah,2005,541810,1371,98,52,22,13,7,2,1,1,0,0,0,0,0,0
Multnomah,2005,541820,241,56,43,7,2,4,0,0,0,0,0,0,0,0,0
Multnomah,2005,541830,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0
Multnomah,2005,541840,0,7,5,1,0,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,541850,0,6,3,1,0,1,1,0,0,0,0,0,0,0,0
Multnomah,2005,541860,506,15,6,1,2,2,2,2,0,0,0,0,0,0,0
Multnomah,2005,541870,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,541890,93,18,11,5,1,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,541910,679,29,11,4,5,5,2,2,0,0,0,0,0,0,0
Multnomah,2005,541921,128,50,42,7,1,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,541922,129,31,23,3,4,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,541930,188,13,8,1,0,3,1,0,0,0,0,0,0,0,0
Multnomah,2005,541940,1394,82,19,15,27,18,1,1,1,0,0,0,0,0,0
Multnomah,2005,541990,276,72,60,6,4,1,1,0,0,0,0,0,0,0,0
Multnomah,2005,551111,33,5,2,2,1,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,551112,0,17,8,1,3,3,1,0,0,0,1,1,0,0,0
Multnomah,2005,551114,12861,188,48,32,28,39,18,14,3,4,2,0,2,0,0
Multnomah,2005,561110,956,52,32,8,4,4,2,1,1,0,0,0,0,0,0
Multnomah,2005,561210,181,8,3,1,1,2,1,0,0,0,0,0,0,0,0
Multnomah,2005,561310,442,25,14,3,2,2,4,0,0,0,0,0,0,0,0
Multnomah,2005,561320,8595,129,36,5,15,14,28,23,8,0,0,0,0,0,0
Multnomah,2005,561330,291,10,1,0,3,4,1,1,0,0,0,0,0,0,0
Multnomah,2005,561410,0,18,11,3,3,0,1,0,0,0,0,0,0,0,0
Multnomah,2005,561421,443,14,3,2,3,4,1,1,0,0,0,0,0,0,0
Multnomah,2005,561422,1297,8,2,1,2,0,1,0,1,1,0,0,0,0,0
Multnomah,2005,561431,64,18,14,3,1,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,561439,360,27,10,3,7,7,0,0,0,0,0,0,0,0,0
Multnomah,2005,561440,130,19,13,3,2,0,1,0,0,0,0,0,0,0,0
Multnomah,2005,561450,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,561491,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,561492,109,12,7,0,3,2,0,0,0,0,0,0,0,0,0
Multnomah,2005,561499,0,15,7,0,1,5,1,0,1,0,0,0,0,0,0
Multnomah,2005,561510,634,69,47,10,6,4,0,2,0,0,0,0,0,0,0
Multnomah,2005,561520,57,7,5,1,0,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,561591,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0
Multnomah,2005,561599,158,9,3,3,2,0,0,1,0,0,0,0,0,0,0
Multnomah,2005,561611,51,13,8,4,1,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,561612,1724,37,7,10,3,7,6,2,2,0,0,0,0,0,0
Multnomah,2005,561613,282,5,1,0,0,1,2,1,0,0,0,0,0,0,0
Multnomah,2005,561621,295,16,5,5,3,2,0,1,0,0,0,0,0,0,0
Multnomah,2005,561622,67,13,8,1,4,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,561710,122,22,12,6,3,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,561720,3362,190,110,33,20,14,9,1,2,1,0,0,0,0,0
Multnomah,2005,561730,996,196,138,33,15,7,3,0,0,0,0,0,0,0,0
Multnomah,2005,561740,168,26,14,5,5,2,0,0,0,0,0,0,0,0,0
Multnomah,2005,561790,355,29,16,4,6,1,1,1,0,0,0,0,0,0,0
Multnomah,2005,561910,0,5,3,1,0,0,0,1,0,0,0,0,0,0,0
Multnomah,2005,561920,353,29,17,4,4,1,3,0,0,0,0,0,0,0,0
Multnomah,2005,561990,955,55,29,10,6,4,3,3,0,0,0,0,0,0,0
Multnomah,2005,562111,687,32,9,5,11,3,3,1,0,0,0,0,0,0,0
Multnomah,2005,562112,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,562119,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,562211,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,562212,117,4,1,0,1,1,1,0,0,0,0,0,0,0,0
Multnomah,2005,562219,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,562910,206,9,2,1,3,2,1,0,0,0,0,0,0,0,0
Multnomah,2005,562920,287,8,1,2,1,1,2,1,0,0,0,0,0,0,0
Multnomah,2005,562991,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,562998,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,611110,2433,81,13,13,21,18,10,6,0,0,0,0,0,0,0
Multnomah,2005,611210,815,8,1,1,0,2,2,1,1,0,0,0,0,0,0
Multnomah,2005,611310,14589,25,5,2,1,2,2,5,4,0,4,2,1,0,1
Multnomah,2005,611410,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,611420,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,611430,125,12,9,1,0,1,1,0,0,0,0,0,0,0,0
Multnomah,2005,611511,59,8,3,2,3,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,611512,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,611513,141,10,5,2,0,3,0,0,0,0,0,0,0,0,0
Multnomah,2005,611519,339,32,18,5,4,3,2,0,0,0,0,0,0,0,0
Multnomah,2005,611610,173,38,25,7,4,2,0,0,0,0,0,0,0,0,0
Multnomah,2005,611620,101,30,22,5,2,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,611630,187,15,6,3,3,2,1,0,0,0,0,0,0,0,0
Multnomah,2005,611691,92,13,7,3,0,3,0,0,0,0,0,0,0,0,0
Multnomah,2005,611692,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,611699,138,19,13,3,1,1,1,0,0,0,0,0,0,0,0
Multnomah,2005,611710,339,37,26,3,5,1,1,1,0,0,0,0,0,0,0
Multnomah,2005,621111,6463,466,230,97,71,51,10,5,1,0,1,1,0,0,0
Multnomah,2005,621112,0,46,43,1,2,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,621210,2650,389,132,183,64,10,0,0,0,0,0,0,0,0,0
Multnomah,2005,621310,527,161,121,31,8,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,621320,212,50,26,22,2,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,621330,377,132,113,9,6,4,0,0,0,0,0,0,0,0,0
Multnomah,2005,621340,422,82,52,18,8,4,0,0,0,0,0,0,0,0,0
Multnomah,2005,621391,54,17,15,2,0,0,0,0,0,0,0,0,0,0,0
Multnomah,2005,621399,0,106,95,8,2,1,0,0,0,0,0,0,0,0,0
Multnomah,2005,621410,0,11,6,2,1,1,1,0,0,0,0,0,0,0,0
Multnomah,2005,621420,546,26,7,2,6,9,2,0,0,0,0,0,0,0,0
Multnomah,2005,621491,0,10,0,1,1,2,2,2,2,0,0,0,0,0,0
Multnomah,2005,621492,248,11,1,0,2,8,0,0,0,0,0,0,0,0,0
Multnomah,2005,621493,0,12,1,2,2,5,1,0,1,0,0,0,0,0,0
Multnomah,2005,621498,141,17,8,2,5,2,0,0,0,0,0,0,0,0,0
Multnomah,2005,621511,0,16,6,3,3,3,0,1,0,0,0,0,0,0,0
Multnomah,2005,621512,447,12,6,2,0,2,0,2,0,0,0,0,0,0,0
Multnomah,2005,621610,1427,30,12,1,6,5,3,2,0,1,0,0,0,0,0
Multnomah,2005,621910,0,4,1,0,1,0,1,1,0,0,0,0,0,0,0
Multnomah,2005,621991,0,5,1,0,0,3,0,0,0,1,0,0,0,0,0
