County,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,State
Lee,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Limestone,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,AL
Lowndes,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Macon,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Autauga,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Madison,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,AL
Marengo,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Bibb,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Marion,1.35237295,1.35237295,1.35237295,1.35237295,1.35237295,1.35237295,1.35237295,1.35237295,1.35237295,1.35237295,1.35237295,1.35237295,1.35237295,AL
Marshall,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,AL
Mobile,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Monroe,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Montgomery,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Morgan,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,1.3577107,AL
Perry,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Pickens,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
Pike,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,1.3256842,AL
