Area,FwyDvmt000,FwyLnMi,ArtDvmt000,ArtLnMi,FwyVmtModPct,FwyVmtHvyPct,FwyVmtSevPct,FwyVmtExtPct,ArtVmtModPct,ArtVmtHvyPct,ArtVmtSevPct,ArtVmtExtPct,FwyAveModSpd,FwyAveHvySpd,FwyAveSevSpd,FwyAveExtSpd,ArtAveModSpd,ArtAveHvySpd,ArtAveSevSpd,ArtAveExtSpd,Pop000,SqMi
San Francisco-Oakland CA,49850,2480,30725,5280,8.1,9.9,35.1,36.9,13.3,12.6,10.5,33.6,52.8,48.5,37.4,27.6,25,23.7,22.2,20.2,4480,1380
San Jose CA,16680,910,17105,2420,20.4,12.8,41.7,10.2,16.8,18.4,12,32.8,52.2,46.1,36.3,26,25.1,23.5,22.4,20.2,1705,395
Sarasota-Bradenton FL,2575,165,6545,965,14.8,4.6,0.6,0,12.4,26.7,12.4,13.7,48.2,43,37.2,22.9,24.9,23.7,22.6,21.2,665,505
Seattle WA,30670,1850,27130,5800,11.2,19.2,21.6,28,17.6,18.9,12.4,16.3,52.2,46.7,37.1,26.2,25,23.6,22.4,20.6,3100,1265
Spokane WA,2125,205,4515,1290,24.5,10.5,0,0,20.3,8.8,1.4,4.6,49.7,44.5,32.4,23.3,24.9,23.8,22.5,21.5,365,180
Springfield MA-CT,5380,460,5965,1485,15.5,5.8,3.8,0,24.8,11.7,2.3,6.3,51.4,45.9,30.7,25.5,25.1,23.6,22.7,20.7,660,475
St. Louis MO-IL,29610,2350,18145,4200,12.5,12.5,11.5,13.5,7.7,12.7,8.8,25.9,52.6,47.1,38.7,25.8,25.1,23.7,22.6,20.4,2215,1280
Tampa-St. Petersburg FL,14100,885,28915,3845,20.2,20.2,16.3,8.5,22.1,23.8,18.7,20.4,51.9,45.6,37.5,27,25.1,23.7,22.7,21,2320,1355
Toledo OH-MI,4025,335,4855,1210,13.6,7.6,14.4,4.4,26,7.2,5.6,1.2,49.5,42.1,36.1,20.9,25.1,23.9,22.6,21.6,520,285
Tucson AZ,3510,250,11205,1745,15.4,9.4,27,3.3,20.3,23.8,17.5,8.4,52,45.9,35.4,26.1,24.9,23.7,22.5,21.7,775,505
Tulsa OK,7140,750,10300,1840,9.6,3.8,6.6,0,15.6,16.8,8.4,19.2,50.2,44.4,34.5,24.5,25.1,23.8,22.6,20.7,810,415
Virginia Beach VA,13115,945,15820,2995,21.6,19.8,17.4,1.2,22.1,20.2,13,9.8,50,43.2,32.8,21.8,25.1,23.8,22.6,20.6,1545,1025
Washington DC-VA-MD,39045,2075,41575,6175,11.9,11.9,34,27.2,16,16,15.2,32.8,53,47.9,37.7,27.1,25,23.7,22.4,20.4,4330,1310
Wichita KS,4215,555,5330,1740,7.8,2.2,0,0,12.3,6.3,3,8.4,49.4,44.1,30.2,22.8,25,24,22.6,21.3,455,340
