AgencyID,PrimaryUZA,UZAName,Population
40204,241,"Murfreesboro, TN",133228
40205,38,"Charlotte, NC-SC",1249442
40206,76,"Charleston-North Charleston, SC",548404
40208,93,"Greenville, SC",400492
40209,122,"Fayetteville, NC",310282
40210,495,"New Bern, NC",50503
40213,142,"Montgomery, AL",263907
40214,167,"Concord, NC",214881
40215,38,"Charlotte, NC-SC",1249442
40217,167,"Concord, NC",214881
40218,43,"Louisville/Jefferson County, KY-IN",972546
40220,266,"Greenville, NC",117798
40221,200,"Gastonia, NC-SC",169495
40222,50,"Raleigh, NC",884891
40223,122,"Fayetteville, NC",310282
40224,133,"Asheville, NC",280648
40225,261,"Burlington, NC",119911
40226,133,"Asheville, NC",280648
40227,294,"Jacksonville, NC",105419
40228,38,"Charlotte, NC-SC",1249442
40229,133,"Asheville, NC",280648
40230,9,"Atlanta, GA",4515419
40231,110,"Durham, NC",347602
40232,32,"Orlando, FL",1510516
40233,167,"Concord, NC",214881
40234,218,"Ponce, PR",149539
40235,98,"Augusta-Richmond County, GA-SC",386787
40236,9,"Atlanta, GA",4515419
40237,38,"Charlotte, NC-SC",1249442
40238,4,"Miami, FL",5502379
40239,4,"Miami, FL",5502379
40240,4,"Miami, FL",5502379
40241,4,"Miami, FL",5502379
40244,192,"Spartanburg, SC",180786
40245,40,"Jacksonville, FL",1065219
41068,109,"Palm Coast-Daytona Beach-Port Orange, FL",349064
44929,4,"Miami, FL",5502379
44932,4,"Miami, FL",5502379
50001,165,"Appleton, WI",216154
50002,176,"Green Bay, WI",206520
50003,256,"Kenosha, WI-IL",124064
50004,298,"La Crosse, WI-MN",100868
50005,92,"Madison, WI",401661
50006,239,"Racine, WI",133700
50008,35,"Milwaukee, WI",1376476
50009,376,"Oshkosh, WI",74495
50010,71,"Akron, OH",569499
50011,135,"Canton, OH",279245
50012,30,"Cincinnati, OH-KY-IN",1624827
50015,25,"Cleveland, OH",1780673
50016,36,"Columbus, OH",1368035
50017,59,"Dayton, OH",724091
50019,308,"Middletown, OH",97503
50020,337,"Springfield, OH",85256
50021,71,"Akron, OH",569499
50022,80,"Toledo, OH-MI",507643
50024,97,"Youngstown, OH-PA",387550
50025,260,"Duluth, MN-WI",120378
50026,194,"Fargo, ND-MN",176676
50027,16,"Minneapolis-St. Paul, MN-WI",2650890
50028,281,"St. Cloud, MN",110621
50029,390,"Bay City, MI",70585
50030,363,"Battle Creek, MI",78393
50031,11,"Detroit, MI",3734090
50032,106,"Flint, MI",356218
50033,70,"Grand Rapids, MI",569935
50034,324,"Jackson, MI",90057
50035,173,"Kalamazoo, MI",209703
50036,118,"Lansing, MI",313532
50037,207,"Muskegon, MI",161280
50038,136,"South Bend, IN-MI",278165
50039,253,"Saginaw, MI",126265
50040,125,"Ann Arbor, MI",306022
50041,330,"Anderson, IN",88133
50042,3,"Chicago, IL-IN",8608208
50043,159,"Evansville, IN-KY",229351
50044,119,"Fort Wayne, IN",313492
50045,3,"Chicago, IL-IN",8608208
50047,243,"Bloomington-Normal, IL",132600
50050,33,"Indianapolis, IN",1487483
50051,223,"Lafayette, IN",147725
50052,136,"South Bend, IN-MI",278165
50053,316,"Terre Haute, IN",92742
50054,322,"Muncie, IN",90580
50056,139,"Peoria, IL",266921
50057,134,"Davenport, IA-IL",280051
50058,127,"Rockford, IL",296863
50059,206,"Springfield, IL",161316
50060,224,"Champaign, IL",145361
50061,313,"Decatur, IL",93863
50066,3,"Chicago, IL-IN",8608208
50088,388,"Sheboygan, WI",71313
50090,372,"Mansfield, OH",75250
50091,375,"Wausau, WI",74632
50092,288,"Rochester, MN",107677
50093,381,"Lima, OH",72852
50095,191,"Lorain-Elyria, OH",180956
50096,35,"Milwaukee, WI",1376476
50098,418,"Michigan City-La Porte, IN-MI",66025
50099,297,"Eau Claire, WI",102852
50103,3,"Chicago, IL-IN",8608208
50104,3,"Chicago, IL-IN",8608208
50107,159,"Evansville, IN-KY",229351
50108,396,"Janesville, WI",69658
50109,432,"Beloit, WI-IL",63835
50110,286,"Bloomington, IN",108657
50113,3,"Chicago, IL-IN",8608208
50117,25,"Cleveland, OH",1780673
50118,3,"Chicago, IL-IN",8608208
50119,11,"Detroit, MI",3734090
50131,3,"Chicago, IL-IN",8608208
50132,443,"Benton Harbor-St. Joseph-Fair Plain, MI",61022
50133,297,"Eau Claire, WI",102852
50141,11,"Detroit, MI",3734090
50142,389,"Weirton-Steubenville, WV-OH-PA",70889
