"SERIALNO","PUMA5","HWEIGHT","UNITTYPE","PERSONS","BLDGSZ","HINC"
"0029984","01301",15,0,3,"06",44900
"0030065","00800",25,0,2,"02",28700
"0030234","01303",20,0,0,"06",0
"0030251","00200",12,0,3,"02",12000
"0030306","01301",22,0,1,"02",13100
"0030384","00200",9,0,1,"02",42790
"0030511","01101",31,0,1,"02",150000
"0030524","00702",25,0,2,"02",77700
"0030617","00702",15,0,4,"02",101000
"0030639","00100",27,0,2,"02",55200
"0030805","01303",30,0,2,"04",29100
"0030995","01102",7,0,2,"02",86800
"0031187","01311",30,0,2,"02",153500
"0031323","00400",34,0,3,"02",38600
"0031429","01309",22,0,1,"02",18200
"0031430","00300",21,0,1,"02",19000
"0031796","01301",34,0,2,"02",47800
"0032407","01306",18,0,2,"02",83000
"0032427","00200",6,0,4,"02",36000
"0032727","00702",28,0,2,"02",31520
"0032865","00900",30,0,2,"05",35650
"0033086","01309",20,0,0,"08",0
"0033088","00900",25,0,2,"02",120000
"0033191","00900",6,0,2,"02",15700
"0033309","00702",27,0,2,"02",33330
"0033520","01000",28,0,2,"02",29100
"0034102","01302",6,0,1,"02",50000
"0034191","00800",19,0,4,"01",55000
"0034455","01200",6,0,2,"02",102300
"0034611","01308",28,0,1,"09",12600
"0034671","00400",28,0,1,"02",46100
"0035038","00100",6,0,4,"02",204030
"0035048","01304",22,0,4,"02",242400
"0035136","00400",39,0,3,"02",229100
"0035463","01303",16,0,5,"05",118100
"0035666","00400",30,0,1,"02",20000
"0035804","01101",15,0,2,"06",10000
"0035856","00900",27,0,5,"02",33910
"0035929","01306",25,0,1,"08",58000
"0036059","00701",18,0,2,"02",104000
"0036178","00500",15,0,3,"06",30650
"0036275","01313",18,0,2,"09",42100
"0036360","01308",63,0,0,"02",0
"0036373","00900",21,0,3,"05",29000
"0036409","00200",25,0,3,"05",65000
"0036414","01101",19,0,4,"06",42800
"0036417","01302",24,0,2,"03",40000
"0036621","01102",33,0,2,"02",6100
"0036773","00900",18,0,1,"01",24000
"0036825","00900",27,0,2,"02",16600
"0037091","00500",15,0,2,"02",21600
"0037108","01312",21,0,4,"02",113260
"0037109","00500",9,0,2,"02",170000
"0037130","01102",6,0,2,"02",303000
"0037392","01200",21,0,2,"02",226000
"0037423","00702",27,0,2,"02",87000
"0037459","01101",22,0,3,"03",42900
"0037761","00500",18,0,2,"02",268900
"0038053","01301",22,0,3,"02",49600
"0038188","01311",25,0,2,"07",75640
"0038356","00701",28,0,1,"01",14100
"0038390","00200",6,0,0,"01",0
"0038470","00500",33,0,3,"02",51900
"0038494","00500",24,0,2,"02",10100
"0038543","01304",15,0,1,"02",150000
"0038601","01101",21,0,4,"02",36700
"0038822","01301",21,0,4,"03",90000
"0038918","00600",6,0,3,"01",51100
"0039073","01302",27,0,2,"02",47100
"0039152","01303",17,0,0,"04",0
"0039293","00800",22,0,2,"02",75500
"0039386","01304",28,0,1,"09",35500
"0039709","00100",6,0,1,"02",130000
"0039749","01304",20,0,0,"09",0
"0039858","01301",19,0,3,"02",41400
"0040066","01313",61,0,4,"08",29400
"0040072","00500",6,0,1,"05",11000
"0040414","00200",6,0,1,"06",6000
"0040653","01311",0,2,1,"  ",0
"0040659","01302",18,0,6,"02",34530
